Answer,Score with point 1,Score with point 2,Score with point 3,Actual Marks,Justification,Jac_1,Jac_2,Jac_3,,,,
Barcode is a series of bars with a code number printed at the bottom.,0.698818751,0.886736014,0.763056572,1,2,0.2,0.428571429,0.071428571,,0,2,0
A barcode is a code with bars and a number printed at the bottom.,0.638905056,0.916590581,0.757928909,1,2,0.1,0.5,0.076923077,,0,2,0
"Barcode is a code made up of country of origin code, manufacturer code, the product code, a check digit.",0.525378148,0.752448953,1.000000024,1,3,0,0.083333333,1,,0,0,3
"A barcode is composed of country code, manufacturer code, the product code, a check digit.",0.494471601,0.760302718,0.955796223,1,3,0,0.1,0.6,,0,0,3
"A barcode is composed of manufacturer code, country of origin code, and the product code.",0.500137247,0.669848083,0.905225699,1,3,0,0.111111111,0.5,,0,0,3
"A barcode consists of light and dark bars of different widths, with a code number printed below the bars.",0.854195886,0.840208261,0.747669223,1,"1, 2",0.333333333,0.272727273,0.055555556,,1,2,0
"A barcode is a series of light and dark bars of differing widths with a code number printed underneath made up of country of origin code, manufacturer code, the product code, a check digit.",0.815729078,0.827772137,0.902404143,2,"1, 2, 3",0.333333333,0.222222222,0.5,,1,2,3
A barcode is an electronic strip with black vertical line and some numbers printed below.,0.679082296,0.811790214,0.728487066,1,2,0,0.090909091,0,,0,2,0
A barcode is a series of bars. It has a lot of product information stored.,0.655965863,0.668005784,0.771233054,0,,0.2,0,0.071428571,,0,0,0
Barcodes are useful to have product information instead of physical stickers with price and other information mentoned on it.,0.490266533,0.663984691,0.753448849,0,,0,0,0.0625,,0,0,0
