Answer,Score with point 1,Score with point 2,Score with point 3,Actual Marks,Justification,Jac_1,Jac_2,Jac_3
A barcode is a square or rectangular image consisting of a series of parallel black lines and white spaces of varying widths that can be read by a scanner,0.8193735749571777,0.6908195974354329,0.6173065558410666,1,,0.1111111111111111,0.0,0.0
"Barcodes became commercially successful when they were used to automate supermarket checkout systems, a task for which they have become almost universal.",0.49512258815935195,0.5672718563671121,0.720557977178002,2,2,0.0,0.0,0.0
"A barcode is a machine-readable code in the form of numbers and a pattern of parallel lines of varying widths, printed on a commodity and used especially for stock control",0.7184316339823507,0.8069003396224277,0.7799367718463259,1,1,0.047619047619047616,0.1111111111111111,0.041666666666666664
"A barcode is a set of lines of different widths and sizes representing data, that when read help identify the scanned object",0.6873791936060935,0.7348825391236562,0.7331033501956351,2,2,0.058823529411764705,0.0,0.0
Barcodes are often used to help organize and index information or prices about an object,0.4908858661865403,0.634967885960003,0.7438463073547256,2,2,0.0,0.0,0.0
Barcodes used by the U.S. postal service that helps speed the delivery of mail is another perfect example of how a barcode could be used. The picture is an example of what a barcode of an address,0.506504084972075,0.6720863601923888,0.7837498342758965,3,3,0.0,0.0,0.0
The barcode was invented by Norman Joseph Woodland and Bernard Silver and patented in the US in 1951,0.3686765788305852,0.35904952230715165,0.4375840319053488,3,3,0.0,0.0,0.0
"A bar code is the small image of lines bars and spaces that is affixed to retail store items, identification cards, and postal mail to identify a particular product number, person, or location.",0.614418510899072,0.7907729956979779,0.8232680780699547,2,2,0.038461538461538464,0.08695652173913043,0.07142857142857142
"A barcode is an image consisting of a series of parallel black and white lines that, when scanned, relay information about a product",0.7106830211296201,0.7125838641346858,0.7143666782183464,2,2,0.0625,0.0,0.05263157894736842
A  barcode is a image with black and white lines which  are read by optical devices such as a barcode reader or scanner. ,0.6469342037084292,0.6567637169470123,0.6286813888795434,2,2,0.0,0.0,0.0
"A barcode is used to automate the transfer of product information, such as its price, from the product to an electronic system such as a cash register.",0.41249026927958515,0.6234290817381094,0.7670535273520634,2,2,0.0,0.0,0.05555555555555555
A barcode allow retailers to easily track inventory.,0.47660980638719375,0.5602529947668864,0.6874395115559409,3,3,0.0,0.0,0.0
It is a symbol printed on every product to uniquely identify it.,0.5366353004647789,0.7364981194352567,0.7792132518829693,0,No match with any preferred answer,0.0,0.1111111111111111,0.07142857142857142
"A barcode uniquely identifies products with information about country of origin, manufacturer and product code. It consists of bars with spaces ",0.5964363039731166,0.6863469030974825,0.8596800395514971,1,1,0.058823529411764705,0.06666666666666667,0.3125
"Printed in black and white bars with different widths, the barcode gives information about the product, manufacturer and the country of manufacture. This helps in identifying the individual items easily ",0.7108648508581553,0.7349355463473206,0.8385127438417881,2,"1, 2",0.09523809523809523,0.05,0.13043478260869565
it is a printed set of black lines with a number underneath,0.6896091449600912,0.8604046264816467,0.7044135248709584,1,3,0.0,0.42857142857142855,0.0
When you scan the bar code at the check out counter the price of the product is automatically detected,0.5186974669438175,0.7226608103159359,0.8013994449388718,0,No match with any preferred answer,0.0,0.08333333333333333,0.2
"A barcode is printed on the cover of the package to easily detect the item. Represented as a set of dark bars, the barcode with a code number gives details of the item being purchased",0.6703355681437131,0.8485775049799956,0.8282952963741789,2,"1,3",0.10526315789473684,0.1875,0.043478260869565216
barcodes help in quick scanning of the product. Along with the code number (printed below the barcode) a barcode is a unique identifier of the product,0.54913084898366,0.8563830207297618,0.8436217146262606,1,3,0.0,0.25,0.1111111111111111
"A barcode consists of light and dark bars of different widths, with a code number printed below the bars.",0.854195885525476,0.8402082614667884,0.7476692231209967,2,"1, 2",0.3333333333333333,0.2727272727272727,0.05555555555555555
"Made up of country of origin code, manufacturer code, the product code, a
check digit.",0.5253782075136066,0.7524490049710896,1.0,1,1,0.0,0.08333333333333333,1.0
A barcode is a rectangular strip comprising of light and deep colors with a code number printed used for product identification and selling.,0.7318253014492204,0.8286222349163422,0.8015519469548655,1,2,0.05555555555555555,0.21428571428571427,0.1
A barcode is a bar with product code printed. It is attached to every product at retail shops.,0.5723064251376794,0.7826384049932259,0.8004939150537763,0,0,0.0,0.2,0.13333333333333333
It is a machine readable numbers arranged in a sequence comprising of parallel lines of different widths on a package. This is used for electronic scanning of goods at checkout to register price.,0.6629195806691177,0.7590956891938658,0.7648576082261653,1,1,0.043478260869565216,0.0,0.0
Barcode is a unique series of parallel lines printed on a product. It is used to register check out price and stock management.,0.61365848402584,0.737587095723342,0.8224590465997724,1,1,0.058823529411764705,0.06666666666666667,0.10526315789473684
Barcode uses a phone's camera to turn itself into a barcode scanner to find the best deal.,0.5138037313573101,0.5796454159846567,0.7120053628394657,0,0,0.0,0.0,0.0
"A barcode is a small image of lines and spaces attached to retail store items. It is used to identify products, location and manufacturer.",0.6052557710478275,0.6973589627355494,0.7966979910561798,1,3,0.0,0.0,0.047619047619047616
A barcode consists of black vertical lines that can be seen at the right corner of the back of the product. It is used for product screening.,0.7151241081472826,0.6993222721212626,0.7629519215573336,0,0,0.0,0.0,0.05263157894736842
A barcode is a code present on the back of the product which identifies the product.,0.48050316432951284,0.7562665068752666,0.8460228917169847,0,0,0.0,0.125,0.16666666666666666
A barcode is a way to encode information visually that a machine can read. The combination of black and white bars (elements) represents a code for product identification.,0.6912489883186266,0.7629073768894336,0.818629026809324,1,1,0.05,0.05555555555555555,0.09090909090909091
Barcodes are applied to products for quick identification electronically. It is a series of light and dark vertical bars representing a machine readable code number.,0.7680420805327681,0.7940806288418365,0.8109779240562882,2,"1,2",0.23529411764705882,0.11764705882352941,0.043478260869565216
A barcode is a series of white and black bars of differing widths. It is pasted on the products in a retail store for easy information of any product.,0.7633841643460677,0.7028085921295233,0.7866982913328014,1,1,0.26666666666666666,0.0,0.047619047619047616
A barcode is represnted by a sequence of light and dark bars of different widths. Barcode is helpful in tagging the prices of products.,0.8527288907517617,0.6437976258412788,0.7087333362241436,1,1,0.3076923076923077,0.0,0.0
A barcode is a series of light and dark bars of differing thickness.,0.9644093173363143,0.5266127292743484,0.5500370168842308,1,1,0.7142857142857143,0.0,0.0
Barcode is a kind of code with bars with a code number printed underneath.,0.6756673529442311,0.9286695934590731,0.7950462400197194,1,2,0.09090909090909091,0.6666666666666666,0.07142857142857142
Barcode is a series of bars with a code number printed at the bottom.,0.6988187508750193,0.8867360138329929,0.7630565723565885,1,2,0.2,0.42857142857142855,0.07142857142857142
A barcode is a code with bars and a number printed at the bottom.,0.638905056363608,0.9165905805031921,0.7579289091309092,1,2,0.1,0.5,0.07692307692307693
"Barcode is a code made up of country of origin code, manufacturer code, the product code, a check digit.",0.5253781478958283,0.7524489528866353,1.000000024070702,1,3,0.0,0.08333333333333333,1.0
"A barcode is composed of country code, manufacturer code, the product code, a check digit.",0.4944716011235697,0.7603027180219724,0.9557962231530587,1,3,0.0,0.1,0.6
"A barcode is composed of manufacturer code, country of origin code, and the product code.",0.5001372468701926,0.6698480833523484,0.9052256992038323,1,3,0.0,0.1111111111111111,0.5
"A barcode consists of light and dark bars of different widths, with a code number printed below the bars.",0.854195885525476,0.8402082614667884,0.7476692231209967,1,"1, 2",0.3333333333333333,0.2727272727272727,0.05555555555555555
"A barcode is a series of light and dark bars of differing widths with a code number printed underneath made up of country of origin code, manufacturer code, the product code, a check digit.",0.8157290780605826,0.8277721367058772,0.9024041429176919,2,"1, 2, 3",0.3333333333333333,0.2222222222222222,0.5
A barcode is an electronic strip with black vertical line and some numbers printed below.,0.6790822961853471,0.8117902138544035,0.7284870658457872,1,2,0.0,0.09090909090909091,0.0
A barcode is a series of bars. It has a lot of product information stored.,0.6559658625520316,0.6680057840347863,0.7712330539063174,0,,0.2,0.0,0.07142857142857142
Barcodes are useful to have product information instead of physical stickers with price and other information mentoned on it.,0.4902665327440055,0.6639846910144057,0.7534488491001013,0,,0.0,0.0,0.0625
